instruction,expected_intent,expected_entities,expected_workflow,missing_fields,risk_level
Delete customer Sneha,DELETE_CUSTOMER,"{""customer_name"": ""Sneha""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Sneha""}]",[],high
Change Camera price to ₹24999,UPDATE_PRODUCT,"{""product_name"": ""Camera"", ""price"": ""24999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Camera""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""24999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Please make Printer cost 24999,UPDATE_PRODUCT,"{""product_name"": ""Printer"", ""price"": ""24999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Printer""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""24999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Tablet ka daam 18000 karna hai,UPDATE_PRODUCT,"{""product_name"": ""Tablet"", ""price"": ""18000""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Tablet""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""18000""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Change the price of iPhone to 50000,UPDATE_PRODUCT,"{""product_name"": ""iPhone"", ""price"": ""50000""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""iPhone""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""50000""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Customer list se Ananya remove karo,DELETE_CUSTOMER,"{""customer_name"": ""Ananya""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Ananya""}]",[],high
Change the price of Headphones to 4999,UPDATE_PRODUCT,"{""product_name"": ""Headphones"", ""price"": ""4999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Headphones""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""4999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
"Fill customer form with Rahul, phone 9876543210",FILL_FORM,"{""customer_name"": ""Rahul"", ""phone_number"": ""9876543210""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Rahul""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9876543210""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
Remove Nisha's customer account,DELETE_CUSTOMER,"{""customer_name"": ""Nisha""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Nisha""}]",[],high
Read the customers,READ_TABLE,"{""table"": ""customers""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customers-body"", ""value"": null}]",[],low
Delete Ananya's customer record,DELETE_CUSTOMER,"{""customer_name"": ""Ananya""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Ananya""}]",[],high
Please create a customer called Neha with 9001122334,ADD_CUSTOMER,"{""customer_name"": ""Neha"", ""phone_number"": ""9001122334""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Neha""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9001122334""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
Tablet ka daam 4999 karna hai,UPDATE_PRODUCT,"{""product_name"": ""Tablet"", ""price"": ""4999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Tablet""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""4999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
product table dikhao,READ_TABLE,"{""table"": ""product table""}","[{""action"": ""OPEN_PAGE"", ""target"": ""product-table"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#product-table-body"", ""value"": null}]",[],low
Meera ko customer records se hata do,DELETE_CUSTOMER,"{""customer_name"": ""Meera""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Meera""}]",[],high
Please download monthly report dated this month,DOWNLOAD_REPORT,"{""report_type"": ""monthly report"", ""date"": ""this month""}","[{""action"": ""OPEN_PAGE"", ""target"": ""reports"", ""value"": null}, {""action"": ""DOWNLOAD_FILE"", ""target"": ""report-download"", ""value"": null}]",[],low
Downlaod todays sales report,DOWNLOAD_REPORT,"{""report_type"": ""sales report"", ""date"": ""today""}",[],[],low
Pankaj ko customer list se delete karo,DELETE_CUSTOMER,"{""customer_name"": ""Pankaj""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Pankaj""}]",[],high
Change the price of Speaker to 50000,UPDATE_PRODUCT,"{""product_name"": ""Speaker"", ""price"": ""50000""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Speaker""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""50000""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Remove Vikram's customer account,DELETE_CUSTOMER,"{""customer_name"": ""Vikram""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Vikram""}]",[],high
Remve Rahul from customers,DELETE_CUSTOMER,"{""customer_name"": ""Rahul""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Rahul""}]",[],high
Remve Priya from customers,DELETE_CUSTOMER,"{""customer_name"": ""Priya""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Priya""}]",[],high
Document upload kar do,UPLOAD_FILE,{},[],"[""file_name""]",low
Set Headphones price to 4999,UPDATE_PRODUCT,"{""product_name"": ""Headphones"", ""price"": ""4999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Headphones""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""4999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Arjun customer delete kar do,DELETE_CUSTOMER,"{""customer_name"": ""Arjun""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Arjun""}]",[],high
Please make iPhone cost 24999,UPDATE_PRODUCT,"{""product_name"": ""iPhone"", ""price"": ""24999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""iPhone""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""24999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
